SERIALNO,DVISION,SPORDER,PUMA,REGION,AGE,SEX,RACE,HISP,PWGTP1
2018GQ0000050,5,1,51044,3,50_59,m,two.,not.hisp.latino,68
2018GQ0000091,5,1,51225,3,10_19,f,white,not.hisp.latino,67
2018GQ0000111,5,1,51135,3,10_19,f,white,not.hisp.latino,121
2018GQ0000143,5,1,51125,3,40_49,m,white,not.hisp.latino,45
2018GQ0000152,5,1,55002,3,70_79,m,white,not.hisp.latino,115
2018GQ0000260,5,1,51215,3,10_19,m,white,not.hisp.latino,21
2018GQ0000312,5,1,51125,3,0_9,f,white,not.hisp.latino,20
2018GQ0000340,5,1,51045,3,80_89,f,two.,not.hisp.latino,21
2018GQ0000350,5,1,51020,3,10_19,f,two.,not.hisp.latino,125
2018GQ0000366,5,1,4103,3,80_89,f,asian,not.hisp.latino,10
2018GQ0000382,5,1,51044,3,0_9,m,white,hisp.latino,78
2018GQ0000399,5,1,51045,3,80_89,m,white,not.hisp.latino,19
2018GQ0000427,5,1,51110,3,40_49,m,white,not.hisp.latino,69
2018GQ0000430,5,1,51154,3,10_19,m,white,not.hisp.latino,17
2018GQ0000496,5,1,51080,3,70_79,m,white,not.hisp.latino,6
2018GQ0000542,5,1,51080,3,10_19,f,asian,not.hisp.latino,98
2018GQ0000700,5,1,51097,3,50_59,m,white,not.hisp.latino,136
2018GQ0000715,5,1,51155,3,10_19,m,white,not.hisp.latino,15
2018GQ0000788,5,1,51154,3,10_19,f,white,not.hisp.latino,96
2018GQ0000857,5,1,51215,3,60_69,f,white,not.hisp.latino,6
2018GQ0000889,5,1,4102,3,50_59,m,white,not.hisp.latino,11
2018GQ0000899,5,1,51206,3,0_9,m,white,hisp.latino,15
2018GQ0000960,5,1,1302,3,60_69,m,white,not.hisp.latino,28
2018GQ0000980,5,1,51040,3,70_79,f,two.,not.hisp.latino,0
2018GQ0001055,5,1,51235,3,10_19,m,white,not.hisp.latino,7
2018GQ0001062,5,1,51206,3,30_39,f,white,not.hisp.latino,3
2018GQ0001108,5,1,55002,3,10_19,f,white,not.hisp.latino,58
2018GQ0001155,5,1,51154,3,40_49,m,white,not.hisp.latino,197
2018GQ0001162,5,1,51105,3,10_19,m,white,not.hisp.latino,17
2018GQ0001253,5,1,4103,3,10_19,f,white,not.hisp.latino,3
2018GQ0001262,5,1,51096,3,60_69,m,white,not.hisp.latino,152
2018GQ0001271,5,1,51215,3,70_79,m,asian,not.hisp.latino,2
2018GQ0001275,5,1,51167,3,50_59,f,white,not.hisp.latino,2
2018GQ0001325,5,1,51090,3,60_69,f,white,not.hisp.latino,4
2018GQ0001414,5,1,51110,3,10_19,f,white,not.hisp.latino,6
2018GQ0001444,5,1,55002,3,80_89,m,asian,not.hisp.latino,27
2018GQ0001498,5,1,51135,3,70_79,f,two.,not.hisp.latino,45
2018GQ0001548,5,1,51010,3,0_9,m,white,not.hisp.latino,26
2018GQ0001608,5,1,51105,3,30_39,m,asian,not.hisp.latino,156
2018GQ0001634,5,1,51154,3,80_89,f,white,not.hisp.latino,207
2018GQ0001756,5,1,51010,3,40_49,m,white,not.hisp.latino,151
2018GQ0001759,5,1,51010,3,40_49,f,white,not.hisp.latino,4
