"SERIALNO","DVISION","SPORDER","PUMA","REGION","AGE","SEX","HISP","RACE","PWGTP1"
"2018GQ0000260",5,1,51215,3,"30_39","m","not.hisp.latino","white",21
"2018GQ0000857",5,1,51215,3,"20_29","f","not.hisp.latino","white",6
"2018GQ0000960",5,1,1302,3,"70_79","f","not.hisp.latino","white",28
"2018GQ0001325",5,1,51090,3,"10_19","m","not.hisp.latino","white",4
"2018GQ0002972",5,1,51105,3,"20_29","f","not.hisp.latino","white",6
"2018GQ0003099",5,1,51154,3,"50_59","m","not.hisp.latino","white",11
"2018GQ0004995",5,1,51110,3,"10_19","m","not.hisp.latino","asian",6
"2018GQ0006595",5,1,51115,3,"20_29","f","not.hisp.latino","white",85
"2018GQ0006829",5,1,51090,3,"10_19","f","not.hisp.latino","two.",33
"2018GQ0008550",5,1,55002,3,"50_59","m","not.hisp.latino","white",70
"2018GQ0010145",5,1,51040,3,"10_19","f","not.hisp.latino","white",72
"2018GQ0010355",5,1,51040,3,"10_19","f","not.hisp.latino","white",115
"2018GQ0013911",5,1,59303,3,"10_19","m","not.hisp.latino","white",67
"2018GQ0014060",5,1,51164,3,"10_19","f","not.hisp.latino","white",151
"2018GQ0016565",5,1,51125,3,"50_59","m","not.hisp.latino","white",74
"2018GQ0019658",5,1,4101,3,"10_19","m","not.hisp.latino","two.",1
"2018GQ0022320",5,1,51175,3,"10_19","m","not.hisp.latino","white",347
"2018GQ0023353",5,1,51235,3,"10_19","f","not.hisp.latino","white",77
"2018GQ0023987",5,1,59303,3,"20_29","f","not.hisp.latino","white",3
"2018GQ0026245",5,1,59305,3,"40_49","m","not.hisp.latino","white",13
"2018GQ0026278",5,1,51096,3,"10_19","f","not.hisp.latino","white",39
"2018GQ0026386",5,1,51096,3,"10_19","m","not.hisp.latino","white",4
"2018GQ0028915",5,1,51215,3,"10_19","m","hisp.latino","white",46
"2018GQ0029699",5,1,51040,3,"20_29","m","not.hisp.latino","asian",7
"2018GQ0030235",5,1,51155,3,"80_89","m","not.hisp.latino","white",34
"2018GQ0030809",5,1,1301,3,"70_79","m","not.hisp.latino","white",40
"2018GQ0031794",5,1,51235,3,"40_49","f","not.hisp.latino","white",0
"2018GQ0035859",5,1,51215,3,"40_49","f","not.hisp.latino","white",66
"2018GQ0043707",5,1,51044,3,"10_19","f","not.hisp.latino","white",48
"2018GQ0046880",5,1,51235,3,"40_49","m","not.hisp.latino","white",171
"2018GQ0049292",5,1,51135,3,"60_69","f","not.hisp.latino","white",25
"2018GQ0050991",5,1,51045,3,"20_29","f","not.hisp.latino","white",5
"2018GQ0060894",5,1,51096,3,"20_29","f","not.hisp.latino","two.",105
"2018GQ0062537",5,1,51090,3,"10_19","m","not.hisp.latino","asian",5
"2018GQ0062997",5,1,51206,3,"10_19","f","not.hisp.latino","white",12
"2018GQ0063012",5,1,51080,3,"10_19","m","not.hisp.latino","white",54
"2018GQ0064421",5,1,51186,3,"20_29","m","not.hisp.latino","white",2
"2018GQ0071641",5,1,55002,3,"20_29","m","hisp.latino","other",25
"2018GQ0072830",5,1,51105,3,"50_59","m","not.hisp.latino","white",7
"2018GQ0072975",5,1,51235,3,"20_29","f","hisp.latino","white",28
"2018GQ0075529",5,1,51154,3,"10_19","f","not.hisp.latino","white",14
"2018GQ0076477",5,1,51105,3,"30_39","m","not.hisp.latino","white",50
"2018GQ0079216",5,1,51040,3,"10_19","m","not.hisp.latino","white",35
"2018GQ0080707",5,1,51110,3,"10_19","m","not.hisp.latino","white",68
"2018GQ0083714",5,1,51040,3,"10_19","m","not.hisp.latino","white",95
