SERIALNO,DVISION,SPORDER,PUMA,REGION,AGE,SEX,HISP,RACE,PWGTP1
2018HU0116045,5,3,59302,3,10_19,m,not.hisp.latino,white,77
2018HU1195215,5,1,59301,3,40_49,m,not.hisp.latino,white,111
2018HU1098550,5,2,59307,3,50_59,f,not.hisp.latino,white,56
2018HU0320374,5,1,59303,3,40_49,f,not.hisp.latino,white,45
2018HU1288396,5,2,59302,3,20_29,f,not.hisp.latino,asian,485
2018HU1120352,5,3,59305,3,10_19,m,not.hisp.latino,white,51
2018HU0578243,5,1,59308,3,40_49,m,hisp.latino,white,176
2018HU0247375,5,2,59309,3,40_49,m,not.hisp.latino,white,110
2018HU0404925,5,2,59306,3,50_59,f,not.hisp.latino,white,61
2018HU0413083,5,2,59305,3,50_59,f,not.hisp.latino,white,120
2018HU0233552,5,3,59304,3,10_19,f,not.hisp.latino,white,18
2018HU0344289,5,2,59309,3,30_39,m,not.hisp.latino,white,54
2018HU1128864,5,1,59306,3,50_59,m,not.hisp.latino,white,96
2018HU1073770,5,4,59305,3,0_9,m,not.hisp.latino,white,33
2018HU0739862,5,1,59308,3,40_49,m,not.hisp.latino,white,65
2018HU0833131,5,1,59302,3,50_59,f,not.hisp.latino,white,54
2018HU0370447,5,1,59307,3,40_49,m,not.hisp.latino,white,475
2018HU0038078,5,1,59301,3,40_49,m,hisp.latino,other,251
2018HU1346518,5,3,59303,3,10_19,m,hisp.latino,white,336
2018HU0987438,5,3,59307,3,10_19,m,not.hisp.latino,asian,67
2018HU0293489,5,1,59303,3,40_49,m,not.hisp.latino,asian,90
2018HU0009911,5,1,59301,3,50_59,m,not.hisp.latino,white,38
2018HU0774430,5,1,59303,3,40_49,m,not.hisp.latino,white,61
2018HU0395759,5,2,59302,3,40_49,f,not.hisp.latino,asian,180
2018HU0264789,5,1,59301,3,60_69,m,not.hisp.latino,white,127
2018HU1246099,5,3,59306,3,10_19,m,not.hisp.latino,white,97
2018HU0115560,5,3,59303,3,20_29,m,not.hisp.latino,white,32
2018HU0152851,5,1,59303,3,70_79,m,not.hisp.latino,white,112
2018HU0043265,5,2,59306,3,20_29,f,not.hisp.latino,white,119
2018HU0208291,5,2,59305,3,30_39,f,not.hisp.latino,white,15
2018HU1389644,5,1,59309,3,70_79,f,not.hisp.latino,white,100
2018HU1320128,5,2,59309,3,50_59,f,not.hisp.latino,asian,20
2018HU0049341,5,7,59308,3,60_69,f,hisp.latino,white,102
2018HU0320276,5,3,59308,3,60_69,m,not.hisp.latino,white,196
2018HU0605551,5,4,59305,3,0_9,m,not.hisp.latino,white,35
2018HU0760941,5,1,59307,3,70_79,m,not.hisp.latino,white,39
2018HU0538788,5,3,59307,3,20_29,m,not.hisp.latino,white,31
2018HU1145249,5,1,59303,3,70_79,m,not.hisp.latino,white,51
2018HU0350596,5,4,59303,3,10_19,m,not.hisp.latino,white,66
2018HU0094915,5,1,59307,3,60_69,m,not.hisp.latino,white,60
2018HU0747741,5,1,59303,3,50_59,f,not.hisp.latino,white,62
2018HU0989190,5,1,59305,3,50_59,m,not.hisp.latino,white,68
2018HU0700176,5,4,59307,3,0_9,f,hisp.latino,white,58
2018HU0776778,5,3,59305,3,0_9,m,not.hisp.latino,asian,111
2018HU1237567,5,2,59307,3,30_39,f,not.hisp.latino,asian,37
2018HU1266283,5,4,59303,3,0_9,f,not.hisp.latino,white,69
2018HU0266718,5,2,59303,3,50_59,f,not.hisp.latino,white,36
2018HU0551502,5,3,59307,3,0_9,f,not.hisp.latino,white,128
2018HU1127579,5,3,59302,3,30_39,m,not.hisp.latino,white,145
2018HU0033912,5,2,59302,3,70_79,f,not.hisp.latino,white,79
2018HU0672805,5,2,59308,3,50_59,m,not.hisp.latino,white,62
2018HU0270653,5,1,59307,3,70_79,m,not.hisp.latino,white,34
2018HU0108649,5,2,59305,3,20_29,m,hisp.latino,white,256
2018HU0302426,5,1,59304,3,50_59,m,not.hisp.latino,white,37
2018HU0184885,5,4,59309,3,30_39,m,not.hisp.latino,white,90
2018HU0459773,5,8,59301,3,0_9,m,not.hisp.latino,asian,59
2018HU0807869,5,2,59305,3,60_69,f,not.hisp.latino,white,81
2018HU0049341,5,5,59308,3,0_9,m,not.hisp.latino,two.,86
2018GQ0128299,5,1,59303,3,10_19,f,not.hisp.latino,white,2
