SERIALNO,DVISION,SPORDER,PUMA,REGION,AGE,SEX,HISP,RACE,PWGTP1
2018HU0176572,5,3,59303,3,0_9,m,not.hisp.latino,white,16
2018HU0273193,5,2,59309,3,10_19,f,not.hisp.latino,white,111
2018HU0916434,5,1,59306,3,20_29,f,not.hisp.latino,white,27
2018HU0434485,5,5,59306,3,30_39,m,hisp.latino,white,438
2018HU0475262,5,1,59302,3,60_69,f,not.hisp.latino,white,64
2018HU1086095,5,1,59309,3,20_29,f,not.hisp.latino,white,43
2018HU0977003,5,3,59308,3,20_29,m,not.hisp.latino,asian,62
2018HU0014923,5,4,59308,3,10_19,m,not.hisp.latino,white,127
2018HU0048720,5,1,59308,3,50_59,m,not.hisp.latino,white,56
2018HU0985495,5,1,59303,3,40_49,m,not.hisp.latino,white,12
2018HU1135677,5,2,59308,3,40_49,m,not.hisp.latino,white,17
2018HU0833558,5,2,59303,3,40_49,f,not.hisp.latino,two.,138
2018HU1262346,5,2,59309,3,30_39,m,not.hisp.latino,white,55
2018HU0608987,5,1,59305,3,50_59,m,not.hisp.latino,white,54
2018HU1047775,5,6,59303,3,0_9,f,hisp.latino,white,127
2018HU0283246,5,3,59309,3,10_19,m,not.hisp.latino,white,13
2018HU0921753,5,1,59306,3,70_79,m,hisp.latino,white,492
2018HU0316865,5,2,59301,3,40_49,m,not.hisp.latino,white,36
2018HU0504636,5,2,59301,3,60_69,f,not.hisp.latino,white,14
2018HU1325092,5,3,59301,3,20_29,f,not.hisp.latino,white,41
2018HU0244044,5,3,59306,3,10_19,f,hisp.latino,white,36
2018HU0264789,5,2,59301,3,60_69,f,not.hisp.latino,white,97
2018HU0602975,5,3,59308,3,10_19,m,not.hisp.latino,white,44
2018HU0148164,5,2,59307,3,30_39,f,not.hisp.latino,white,28
2018HU0093968,5,3,59305,3,10_19,m,not.hisp.latino,white,134
2018HU1101665,5,2,59303,3,50_59,f,not.hisp.latino,white,15
2018HU1362575,5,2,59306,3,50_59,f,not.hisp.latino,white,17
2018HU0686103,5,1,59303,3,40_49,f,hisp.latino,white,42
2018HU0021205,5,1,59301,3,60_69,f,not.hisp.latino,asian,38
2018HU0684930,5,1,59305,3,40_49,f,not.hisp.latino,white,96
2018HU0706546,5,3,59303,3,20_29,f,not.hisp.latino,white,63
2018HU0001053,5,1,59303,3,60_69,f,not.hisp.latino,white,98
2018HU1020391,5,2,59303,3,70_79,f,not.hisp.latino,white,62
2018HU0171337,5,4,59301,3,50_59,f,hisp.latino,white,140
2018HU0920950,5,1,59302,3,30_39,f,hisp.latino,white,25
2018HU1184644,5,2,59309,3,60_69,m,not.hisp.latino,asian,145
2018HU0927984,5,1,59308,3,70_79,m,not.hisp.latino,white,154
2018HU0176429,5,2,59308,3,30_39,m,hisp.latino,white,24
2018HU0344415,5,6,59305,3,60_69,m,not.hisp.latino,asian,22
2018HU1023268,5,2,59303,3,60_69,f,not.hisp.latino,white,20
2018HU0924994,5,2,59308,3,10_19,f,not.hisp.latino,asian,99
2018HU1373367,5,1,59308,3,40_49,m,not.hisp.latino,white,19
2018HU1265150,5,3,59306,3,10_19,f,not.hisp.latino,white,85
2018HU1350411,5,3,59307,3,0_9,f,not.hisp.latino,white,141
2018HU0662714,5,2,59307,3,30_39,f,hisp.latino,other,163
2018HU0203997,5,2,59302,3,70_79,f,not.hisp.latino,white,58
2018HU0349761,5,4,59301,3,60_69,m,not.hisp.latino,two.,67
2018GQ0129890,5,1,59302,3,80_89,f,not.hisp.latino,white,7
2018HU0047271,5,2,59301,3,10_19,f,hisp.latino,other,466
2018HU0819127,5,1,59306,3,80_89,f,not.hisp.latino,white,27
2018HU1011639,5,1,59301,3,60_69,f,not.hisp.latino,white,43
2018HU0820957,5,6,59305,3,10_19,m,hisp.latino,white,47
2018HU0275191,5,3,59304,3,10_19,m,not.hisp.latino,white,178
2018HU0803683,5,3,59307,3,20_29,m,not.hisp.latino,white,67
2018HU0499250,5,1,59305,3,50_59,m,not.hisp.latino,white,73
2018HU0686103,5,5,59303,3,10_19,f,hisp.latino,white,40
2018HU0589370,5,1,59307,3,50_59,f,not.hisp.latino,black.aa,27
2018HU0745540,5,1,59301,3,70_79,f,not.hisp.latino,white,99
2018HU0066229,5,1,59302,3,20_29,f,not.hisp.latino,white,35
2018HU0695012,5,1,59301,3,30_39,f,not.hisp.latino,white,93
2018HU1039476,5,1,59306,3,70_79,m,not.hisp.latino,white,93
2018HU1071345,5,1,59303,3,40_49,f,not.hisp.latino,white,66
2018HU1216812,5,2,59309,3,50_59,m,not.hisp.latino,white,29
2018HU0587654,5,6,59308,3,30_39,f,not.hisp.latino,asian,135
2018HU0104491,5,3,59302,3,0_9,m,not.hisp.latino,white,53
2018HU0204789,5,3,59302,3,0_9,m,not.hisp.latino,white,15
2018HU1362562,5,1,59307,3,50_59,m,hisp.latino,white,225
2018HU0478456,5,2,59306,3,60_69,f,not.hisp.latino,white,30
2018HU0485788,5,2,59309,3,60_69,f,hisp.latino,white,66
2018HU1077347,5,3,59307,3,20_29,f,not.hisp.latino,white,152
2018HU1139414,5,1,59307,3,60_69,f,not.hisp.latino,white,17
2018HU0444976,5,1,59303,3,30_39,f,not.hisp.latino,white,56
2018HU0820957,5,6,59305,3,10_19,m,hisp.latino,white,47
2018HU0124019,5,1,59305,3,50_59,f,not.hisp.latino,white,355
2018HU0654042,5,1,59303,3,70_79,m,not.hisp.latino,white,73
2018HU1276929,5,1,59305,3,50_59,m,not.hisp.latino,white,40
2018HU0163056,5,2,59305,3,40_49,f,not.hisp.latino,white,59
2018HU0562448,5,5,59307,3,0_9,f,hisp.latino,white,93
2018HU0113282,5,1,59303,3,20_29,m,hisp.latino,white,112
2018HU0185809,5,2,59308,3,50_59,m,not.hisp.latino,white,198
2018HU1017918,5,1,59308,3,30_39,m,not.hisp.latino,white,322
2018HU0561476,5,3,59307,3,20_29,f,hisp.latino,white,28
2018HU1342198,5,1,59301,3,40_49,m,not.hisp.latino,white,69
2018HU0663877,5,3,59303,3,30_39,m,not.hisp.latino,white,182
2018HU1152550,5,1,59301,3,30_39,f,not.hisp.latino,white,256
2018HU0148527,5,1,59305,3,70_79,f,not.hisp.latino,white,19
2018HU0411230,5,2,59303,3,60_69,m,not.hisp.latino,asian,76
2018HU0050017,5,1,59303,3,60_69,m,not.hisp.latino,white,135
2018HU0091289,5,4,59301,3,0_9,m,not.hisp.latino,white,85
2018HU0312449,5,1,59302,3,40_49,f,not.hisp.latino,white,78
2018HU0357346,5,3,59306,3,20_29,f,not.hisp.latino,white,72
2018HU1048851,5,2,59304,3,50_59,f,not.hisp.latino,white,13
2018HU0033912,5,1,59302,3,70_79,m,not.hisp.latino,white,55
2018HU1148101,5,1,59304,3,30_39,m,not.hisp.latino,white,168
2018HU1121393,5,2,59309,3,60_69,m,not.hisp.latino,white,107
2018HU0379087,5,3,59303,3,20_29,f,not.hisp.latino,white,23
2018HU1222572,5,1,59307,3,60_69,f,not.hisp.latino,white,23
2018HU1020561,5,1,59303,3,30_39,m,not.hisp.latino,white,59
2018HU0665359,5,1,59308,3,50_59,m,not.hisp.latino,white,71
2018HU1232492,5,1,59303,3,60_69,m,not.hisp.latino,white,59
2018HU1255706,5,3,59301,3,40_49,f,hisp.latino,white,26
2018HU1057392,5,1,59302,3,50_59,m,not.hisp.latino,white,91
2018HU0257288,5,2,59308,3,40_49,f,not.hisp.latino,asian,165
2018HU1065109,5,1,59306,3,60_69,f,not.hisp.latino,white,85
2018HU1106058,5,6,59307,3,20_29,m,not.hisp.latino,white,295
2018HU1242708,5,2,59302,3,20_29,m,not.hisp.latino,black.aa,203
2018HU0845867,5,1,59304,3,50_59,f,not.hisp.latino,white,85
2018HU1234783,5,3,59308,3,30_39,f,not.hisp.latino,white,432
2018HU1336899,5,3,59301,3,10_19,f,not.hisp.latino,white,268
2018HU1359901,5,4,59309,3,0_9,m,hisp.latino,white,633
2018HU0793720,5,4,59301,3,0_9,m,hisp.latino,white,92
2018HU0407741,5,1,59303,3,50_59,m,not.hisp.latino,white,69
2018HU0663877,5,3,59303,3,30_39,m,not.hisp.latino,white,182
2018HU0769313,5,5,59307,3,10_19,m,not.hisp.latino,white,53
2018HU0781073,5,1,59302,3,70_79,m,not.hisp.latino,white,95
2018HU0875531,5,3,59301,3,20_29,f,not.hisp.latino,white,325
2018HU1150859,5,2,59306,3,40_49,f,not.hisp.latino,asian,62
2018HU0033733,5,2,59306,3,40_49,f,not.hisp.latino,white,177
2018HU0186688,5,2,59307,3,20_29,m,not.hisp.latino,white,24
2018HU1320021,5,3,59305,3,10_19,f,not.hisp.latino,two.,70
2018HU1341707,5,1,59302,3,70_79,m,not.hisp.latino,white,48
2018HU0486225,5,1,59305,3,80_89,m,not.hisp.latino,white,54
2018HU0328922,5,4,59304,3,70_79,m,hisp.latino,white,106
2018HU1187913,5,2,59301,3,50_59,f,not.hisp.latino,white,49
2018HU1205945,5,2,59309,3,30_39,m,hisp.latino,white,107
2018HU1034084,5,1,59304,3,50_59,m,not.hisp.latino,white,115
2018HU0307865,5,4,59306,3,10_19,m,not.hisp.latino,white,95
2018HU0140075,5,3,59308,3,10_19,m,not.hisp.latino,white,23
2018HU0780729,5,2,59307,3,60_69,m,not.hisp.latino,white,22
2018HU1118799,5,3,59307,3,0_9,m,hisp.latino,white,150
2018HU0769754,5,3,59303,3,0_9,f,not.hisp.latino,white,70
2018HU0320276,5,2,59308,3,50_59,f,not.hisp.latino,white,134
2018HU0580954,5,3,59305,3,20_29,f,not.hisp.latino,white,79
2018HU1062906,5,2,59301,3,70_79,f,not.hisp.latino,white,84
2018HU0527045,5,2,59303,3,20_29,m,not.hisp.latino,white,129
2018HU1395161,5,1,59302,3,30_39,m,hisp.latino,white,326
2018HU0050017,5,1,59303,3,60_69,m,not.hisp.latino,white,135
2018HU0822831,5,1,59307,3,50_59,m,hisp.latino,white,68
2018HU0961240,5,2,59303,3,70_79,f,not.hisp.latino,white,21
2018HU1240814,5,5,59309,3,0_9,m,not.hisp.latino,two.,11
2018HU1372402,5,1,59307,3,50_59,f,not.hisp.latino,white,15
2018HU1026205,5,3,59302,3,0_9,m,hisp.latino,white,343
2018HU0757605,5,1,59301,3,60_69,f,hisp.latino,white,53
2018HU0260487,5,3,59309,3,20_29,m,hisp.latino,white,110
2018HU0531566,5,4,59309,3,10_19,f,not.hisp.latino,asian,19
2018HU1040821,5,2,59304,3,50_59,f,not.hisp.latino,white,51
2018HU0402418,5,1,59302,3,30_39,m,hisp.latino,white,205
2018HU0580954,5,1,59305,3,50_59,m,not.hisp.latino,white,56
2018HU1215805,5,5,59307,3,70_79,m,hisp.latino,other,172
2018HU1155201,5,1,59307,3,50_59,f,not.hisp.latino,white,99
2018HU0434485,5,5,59306,3,30_39,m,hisp.latino,white,438
2018HU1287430,5,2,59305,3,40_49,f,hisp.latino,two.,93
2018HU1179420,5,5,59305,3,0_9,m,not.hisp.latino,white,28
2018HU0923249,5,1,59309,3,20_29,f,not.hisp.latino,white,80
2018HU1386400,5,2,59306,3,40_49,m,not.hisp.latino,white,101
2018HU0083289,5,1,59301,3,30_39,m,not.hisp.latino,white,104
2018HU1312861,5,1,59307,3,40_49,m,not.hisp.latino,white,58
2018HU0408435,5,1,59301,3,60_69,m,not.hisp.latino,white,15
2018HU1127663,5,1,59303,3,50_59,f,not.hisp.latino,white,20
