SERIALNO,DVISION,SPORDER,PUMA,REGION,AGE,SEX,HISP,RACE,PWGTP1
2018HU0640205,5,2,59302,3,70_79,m,not.hisp.latino,white,17
2018HU0668408,5,5,59307,3,0_9,f,hisp.latino,white,78
2018HU0259713,5,1,59307,3,50_59,f,not.hisp.latino,white,90
2018HU0715373,5,1,59307,3,30_39,f,not.hisp.latino,white,100
2018HU1188471,5,2,59304,3,40_49,f,hisp.latino,white,119
2018HU0614301,5,1,59303,3,50_59,m,not.hisp.latino,white,67
2018HU1161044,5,1,59302,3,80_89,m,not.hisp.latino,white,52
2018HU0833131,5,2,59302,3,10_19,m,hisp.latino,other,49
2018HU1297869,5,1,59309,3,20_29,f,not.hisp.latino,white,351
2018HU0610492,5,4,59308,3,0_9,m,not.hisp.latino,white,78
2018HU0886543,5,3,59306,3,10_19,m,not.hisp.latino,white,122
2018HU0439161,5,2,59302,3,50_59,f,not.hisp.latino,white,15
2018HU0806194,5,4,59309,3,20_29,m,not.hisp.latino,white,164
2018HU0986081,5,2,59304,3,30_39,m,hisp.latino,white,23
2018HU1294894,5,3,59304,3,0_9,m,hisp.latino,white,86
2018HU0139083,5,3,59302,3,40_49,m,not.hisp.latino,white,28
2018HU1040818,5,1,59302,3,40_49,m,hisp.latino,white,176
2018HU0161077,5,2,59302,3,20_29,m,hisp.latino,white,746
2018HU1027772,5,3,59305,3,20_29,m,not.hisp.latino,white,52
2018HU0258731,5,1,59303,3,50_59,m,hisp.latino,white,135
2018HU1111115,5,3,59303,3,0_9,f,hisp.latino,white,32
2018HU0267981,5,1,59307,3,20_29,f,hisp.latino,white,26
2018HU0773361,5,1,59303,3,50_59,f,not.hisp.latino,white,89
2018HU0961956,5,1,59309,3,80_89,f,not.hisp.latino,white,226
2018HU0310240,5,4,59307,3,0_9,f,not.hisp.latino,white,93
2018HU1266142,5,4,59307,3,10_19,m,hisp.latino,white,270
2018HU0923949,5,2,59302,3,60_69,m,not.hisp.latino,white,130
2018HU1340782,5,5,59306,3,10_19,f,hisp.latino,white,314
2018HU0334691,5,5,59302,3,10_19,f,hisp.latino,white,36
2018HU0167157,5,4,59303,3,10_19,m,hisp.latino,white,129
2018HU1125547,5,1,59309,3,40_49,m,hisp.latino,white,168
2018HU0580467,5,3,59308,3,10_19,m,hisp.latino,white,72
2018HU1176335,5,2,59302,3,60_69,m,not.hisp.latino,white,64
2018HU1071019,5,5,59301,3,0_9,f,not.hisp.latino,white,16
2018HU0562124,5,3,59307,3,0_9,m,hisp.latino,white,86
2018HU0531455,5,3,59304,3,20_29,m,not.hisp.latino,white,176
2018HU0176429,5,2,59308,3,30_39,m,hisp.latino,white,24
