SERIALNO,DVISION,SPORDER,PUMA,REGION,AGE,SEX,EMP,MOB,INC,CIT,MAR,SCH,DIS,WRK,INS,RACE
2018GQ0010588,5,1,51044,3,40_49,m,not.in.labor.force,same.house,i.0.9999,naturalization,never,public,without.disability,not.working,with.insurance,white
2018GQ0031918,5,1,51225,3,30_39,f,civilian.employed,same.house,i.0.9999,not.citizen,married,no.schooling,without.disability,private.profit,with.insurance,white
2018GQ0036596,5,1,51135,3,10_19,f,civilian.employed,same.house,i.25000.34999,us.born,married,no.schooling,without.disability,federal,with.insurance,other
2018GQ0040678,5,1,51125,3,60_69,m,civilian.employed,same.house,i.75000.99999,naturalization,never,no.schooling,without.disability,private.profit,with.insurance,white
2018GQ0059632,5,1,55002,3,40_49,m,not.in.labor.force,same.house,i.25000.34999,abroad.born,married,private,without.disability,not.working,with.insurance,white
2018GQ0072982,5,1,51215,3,10_19,m,not.in.labor.force,same.house,i.0.9999,us.born,married,no.schooling,without.disability,not.working,with.insurance,white
2018GQ0075016,5,1,51125,3,0_9,f,civilian.employed,same.house,i.0.9999,naturalization,married,public,without.disability,not.working,with.insurance,black
2018GQ0081037,5,1,51045,3,10_19,f,civilian.employed,same.house,i.65000.74999,us.born,separated,private,with.disability,private.profit,with.insurance,white
2018GQ0081408,5,1,51020,3,70_79,m,civilian.employed,same.house,i.15000.24999,us.born,married,no.schooling,without.disability,not.working,with.insurance,white
2018GQ0087332,5,1,4103,3,60_69,f,civilian.employed,same.house,i.0.9999,us.born,married,no.schooling,without.disability,not.working,with.insurance,asian
2018GQ0101563,5,1,51044,3,60_69,m,civilian.employed,same.house,i.75000.99999,us.born,married,public,without.disability,federal,with.insurance,white
2018GQ0105375,5,1,51045,3,10_19,m,not.in.labor.force,same.house,i.0.9999,abroad.born,never,no.schooling,without.disability,private.profit,with.insurance,white
2018GQ0110853,5,1,51110,3,0_9,m,not.in.labor.force,same.house,i.75000.99999,us.born,married,no.schooling,without.disability,private.profit,with.insurance,white
2018GQ0128726,5,1,51154,3,60_69,m,civilian.employed,same.house,i.0.9999,us.born,never,no.schooling,without.disability,private.profit,with.insurance,asian
2018GQ0141450,5,1,51080,3,0_9,f,not.in.labor.force,same.house,i.75000.99999,us.born,divorced,public,without.disability,not.working,with.insurance,white
2018GQ0145281,5,1,51080,3,10_19,m,not.in.labor.force,same.house,i.50000.64999,naturalization,divorced,no.schooling,without.disability,not.working,with.insurance,white
2018GQ0148526,5,1,51097,3,20_29,m,not.in.labor.force,same.house,i.0.9999,us.born,married,private,without.disability,private.profit,with.insurance,white
2018HU0000797,5,1,51155,3,70_79,f,civilian.employed,abroad.house,i.0.9999,us.born,married,no.schooling,without.disability,not.working,with.insurance,black
2018HU0001971,5,1,51154,3,10_19,m,not.in.labor.force,same.house,i.0.9999,us.born,never,public,without.disability,not.working,with.insurance,white
2018HU0001975,5,1,51215,3,50_59,f,civilian.employed,same.house,i.0.9999,us.born,never,no.schooling,without.disability,not.working,with.insurance,white
2018HU0006728,5,1,4102,3,10_19,m,civilian.employed,same.house,i.0.9999,us.born,married,public,without.disability,not.working,with.insurance,white
2018HU0006728,5,1,51206,3,60_69,f,not.in.labor.force,same.house,i.0.9999,naturalization,married,no.schooling,without.disability,private.profit,with.insurance,asian
2018HU0006728,5,1,1302,3,10_19,f,not.in.labor.force,same.house,i.75000.99999,us.born,never,no.schooling,without.disability,federal,with.insurance,white
2018HU0009911,5,1,51040,3,40_49,m,armed.forces,same.house,i.75000.99999,us.born,never,no.schooling,without.disability,not.working,with.insurance,white
2018HU0009993,5,1,51235,3,40_49,f,not.in.labor.force,same.house,i.0.9999,naturalization,married,no.schooling,without.disability,not.working,with.insurance,white
2018HU0010020,5,1,51206,3,60_69,m,civilian.employed,same.house,i.75000.99999,us.born,married,no.schooling,without.disability,self.employed.corp,with.insurance,white
2018HU0010602,5,1,55002,3,30_39,m,not.in.labor.force,same.house,i.75000.99999,naturalization,married,public,without.disability,private.profit,with.insurance,white
2018HU0010602,5,1,51154,3,70_79,f,not.in.labor.force,abroad.house,i.75000.99999,us.born,married,no.schooling,without.disability,self.employed.corp,with.insurance,white
2018HU0010602,5,1,51105,3,20_29,f,civilian.employed,diff.us.house,i.75000.99999,us.born,married,no.schooling,without.disability,state,with.insurance,asian
2018HU0010602,5,1,4103,3,20_29,m,civilian.employed,same.house,i.0.9999,naturalization,married,no.schooling,without.disability,private.no.profit,with.insurance,white
2018HU0010602,5,1,51096,3,20_29,f,not.in.labor.force,same.house,i.0.9999,naturalization,married,no.schooling,without.disability,self.employed.corp,with.insurance,asian
2018HU0015168,5,1,51215,3,50_59,m,civilian.employed,same.house,i.0.9999,us.born,married,public,without.disability,private.profit,with.insurance,white
2018HU0015168,5,1,51167,3,40_49,m,civilian.employed,same.house,i.15000.24999,us.born,married,public,without.disability,not.working,with.insurance,white
2018HU0015168,5,1,51090,3,20_29,m,civilian.employed,same.house,i.75000.99999,naturalization,never,public,without.disability,private.profit,with.insurance,asian
2018HU0015168,5,1,51110,3,20_29,m,civilian.employed,same.house,i.0.9999,naturalization,widowed,public,with.disability,not.working,with.insurance,asian
2018HU0016682,5,1,55002,3,0_9,f,civilian.employed,same.house,i.0.9999,us.born,married,no.schooling,without.disability,private.profit,with.insurance,white
2018HU0016682,5,1,51135,3,50_59,m,not.in.labor.force,diff.us.house,i.0.9999,us.born,never,no.schooling,without.disability,federal,with.insurance,white
2018HU0016682,5,1,51010,3,30_39,m,civilian.employed,same.house,i.0.9999,us.born,never,no.schooling,without.disability,self.employed.corp,with.insurance,white
2018HU0016682,5,1,51105,3,20_29,f,not.in.labor.force,same.house,i.0.9999,not.citizen,never,no.schooling,without.disability,not.working,with.insurance,white
2018HU0017189,5,1,51154,3,50_59,f,not.in.labor.force,same.house,i.0.9999,us.born,never,public,without.disability,private.profit,without.insurance,white
2018HU0017189,5,1,51010,3,0_9,f,civilian.employed,same.house,i.75000.99999,not.citizen,married,public,without.disability,federal,with.insurance,white
2018HU0017189,5,1,51010,3,60_69,m,civilian.employed,same.house,i.0.9999,us.born,married,no.schooling,without.disability,private.profit,with.insurance,white
2018HU0017189,5,1,51105,3,10_19,f,civilian.employed,same.house,i.0.9999,naturalization,never,no.schooling,without.disability,not.working,with.insurance,white
2018HU0020439,5,1,51110,3,70_79,f,civilian.employed,same.house,i.50000.64999,us.born,never,no.schooling,without.disability,state,with.insurance,white
2018HU0020439,5,1,51096,3,40_49,f,not.in.labor.force,same.house,i.75000.99999,us.born,divorced,no.schooling,with.disability,not.working,with.insurance,white
2018HU0020439,5,1,51246,3,10_19,m,not.in.labor.force,diff.us.house,i.0.9999,us.born,never,no.schooling,without.disability,not.working,with.insurance,white
2018HU0020439,5,1,51089,3,30_39,f,not.in.labor.force,same.house,i.0.9999,us.born,married,public,without.disability,self.employed.corp,with.insurance,black
2018HU0021205,5,1,51096,3,10_19,f,civilian.employed,same.house,i.0.9999,not.citizen,never,no.schooling,with.disability,not.working,with.insurance,asian
2018HU0026890,5,1,51135,3,50_59,m,not.in.labor.force,diff.us.house,i.75000.99999,us.born,never,public,without.disability,local,with.insurance,black
2018HU0026890,5,1,51085,3,40_49,f,civilian.employed,same.house,i.0.9999,us.born,married,private,without.disability,private.profit,with.insurance,white
2018HU0029891,5,1,51080,3,40_49,f,civilian.employed,same.house,i.75000.99999,us.born,never,public,without.disability,private.profit,with.insurance,black
2018HU0029891,5,1,51040,3,40_49,f,not.in.labor.force,same.house,i.75000.99999,us.born,married,private,without.disability,local,with.insurance,two.
2018HU0031354,5,1,51235,3,50_59,f,not.in.labor.force,same.house,i.25000.34999,us.born,never,no.schooling,without.disability,private.profit,with.insurance,asian
2018HU0033861,5,1,51215,3,20_29,m,civilian.employed,same.house,i.75000.99999,naturalization,married,no.schooling,without.disability,not.working,with.insurance,white
2018HU0034931,5,1,51206,3,0_9,f,not.in.labor.force,same.house,i.0.9999,us.born,married,public,without.disability,federal,with.insurance,white
2018HU0034931,5,1,51045,3,0_9,f,not.in.labor.force,diff.us.house,i.75000.99999,us.born,never,public,without.disability,private.profit,with.insurance,white
2018HU0037491,5,1,51090,3,30_39,f,civilian.employed,same.house,i.0.9999,us.born,married,no.schooling,without.disability,not.working,without.insurance,white
2018HU0037491,5,1,51164,3,0_9,m,civilian.employed,same.house,i.75000.99999,us.born,never,no.schooling,without.disability,not.working,with.insurance,white
2018HU0037990,5,1,51110,3,40_49,f,not.in.labor.force,same.house,i.75000.99999,us.born,married,no.schooling,without.disability,not.working,with.insurance,white
2018HU0037990,5,1,51235,3,60_69,m,civilian.employed,same.house,i.15000.24999,us.born,never,no.schooling,without.disability,not.working,with.insurance,white
2018HU0038078,5,1,51080,3,10_19,m,civilian.employed,same.house,i.75000.99999,us.born,married,no.schooling,without.disability,private.profit,with.insurance,asian
2018HU0038078,5,1,51010,3,60_69,m,civilian.employed,same.house,i.75000.99999,us.born,married,public,without.disability,not.working,with.insurance,white
2018HU0038078,5,1,51110,3,30_39,m,civilian.employed,same.house,i.0.9999,naturalization,never,no.schooling,with.disability,private.profit,with.insurance,white
2018HU0042457,5,1,51135,3,50_59,f,not.in.labor.force,same.house,i.75000.99999,naturalization,never,no.schooling,without.disability,local,with.insurance,white
2018HU0042574,5,1,51044,3,60_69,f,civilian.employed,same.house,i.75000.99999,us.born,married,no.schooling,without.disability,not.working,with.insurance,white
